asset_type	original40_visual_status	physical_asset_available	xml_exists	procedural_site_only	unused_original40_visual	unused_original40_goal_primary	used_libero90_visual	used_libero90_goal_primary	scene40_task_ids	goal_primary40_task_ids	scene90_task_ids	goal_primary90_task_ids	asset_xml	collision_aabb_dimensions_xml_frame_m	feasibility_notes	class_source	class_source_line
tomato_sauce	present40_with_goal_primary_role	True	True	False	False	False	True	True	"[""LIBERO_10_01"", ""LIBERO_10_02"", ""LIBERO_10_08"", ""LIBERO_OBJECT_01"", ""LIBERO_OBJECT_02"", ""LIBERO_OBJECT_03"", ""LIBERO_OBJECT_06"", ""LIBERO_OBJECT_07"", ""LIBERO_OBJECT_08""]"	"[""LIBERO_10_01"", ""LIBERO_OBJECT_06""]"	"[""LIBERO_90_47"", ""LIBERO_90_48"", ""LIBERO_90_49"", ""LIBERO_90_50"", ""LIBERO_90_51"", ""LIBERO_90_52"", ""LIBERO_90_53"", ""LIBERO_90_54"", ""LIBERO_90_55"", ""LIBERO_90_56"", ""LIBERO_90_57"", ""LIBERO_90_58"", ""LIBERO_90_59"", ""LIBERO_90_60""]"	"[""LIBERO_90_50"", ""LIBERO_90_55"", ""LIBERO_90_60""]"	libero/assets/stable_hope_objects/tomato_sauce/tomato_sauce.xml		Existing registered LIBERO asset; not evaluated by this static audit.	python_packages/libero/libero/envs/objects/hope_objects.py	220
white_bowl	absent_from_original40_scene	True	True	False	True	True	True	True	[]	[]	"[""LIBERO_90_36"", ""LIBERO_90_37"", ""LIBERO_90_38"", ""LIBERO_90_41"", ""LIBERO_90_42"", ""LIBERO_90_43"", ""LIBERO_90_44"", ""LIBERO_90_45"", ""LIBERO_90_46""]"	"[""LIBERO_90_37"", ""LIBERO_90_38"", ""LIBERO_90_44""]"	libero/assets/stable_scanned_objects/white_bowl/white_bowl.xml		Used in LIBERO90. Class x+90 rotation plus movable yaw behavior must be checked in simulator; no named containment site. Excluded from initial novel-batch receptacle goals.	python_packages/libero/libero/envs/objects/google_scanned_objects.py	48
white_cabinet	present40_with_goal_primary_role	True	True	False	False	False	True	True	"[""LIBERO_10_04""]"	"[""LIBERO_10_04""]"	"[""LIBERO_90_23"", ""LIBERO_90_24"", ""LIBERO_90_25"", ""LIBERO_90_26"", ""LIBERO_90_27"", ""LIBERO_90_28"", ""LIBERO_90_29"", ""LIBERO_90_30"", ""LIBERO_90_31"", ""LIBERO_90_32"", ""LIBERO_90_33""]"	"[""LIBERO_90_23"", ""LIBERO_90_24"", ""LIBERO_90_29""]"	libero/assets/articulated_objects/white_cabinet.xml		Existing registered LIBERO asset; not evaluated by this static audit.	python_packages/libero/libero/envs/objects/articulated_objects.py	194
white_storage_box	absent_from_original40_scene	True	True	False	True	True	False	False	[]	[]	[]	[]	libero/assets/turbosquid_objects/white_storage_box/white_storage_box.xml	[0.1407, 0.1166, 0.1402]	Open-ended cubby with roof/floor/side walls, not a sealed bin. Existing top_side is a support; no contain_region. Do not invent In(box) semantics.	python_packages/libero/libero/envs/objects/turbosquid_objects.py	46
white_yellow_mug	present40_with_goal_primary_role	True	True	False	False	False	True	True	"[""LIBERO_10_05"", ""LIBERO_10_06"", ""LIBERO_10_10""]"	"[""LIBERO_10_05"", ""LIBERO_10_10""]"	"[""LIBERO_90_34"", ""LIBERO_90_35"", ""LIBERO_90_66"", ""LIBERO_90_67"", ""LIBERO_90_68"", ""LIBERO_90_69"", ""LIBERO_90_74"", ""LIBERO_90_75"", ""LIBERO_90_76"", ""LIBERO_90_77""]"	"[""LIBERO_90_35"", ""LIBERO_90_69"", ""LIBERO_90_77""]"	libero/assets/turbosquid_objects/white_yellow_mug/white_yellow_mug.xml		Existing registered LIBERO asset; not evaluated by this static audit.	python_packages/libero/libero/envs/objects/turbosquid_objects.py	197
window	absent_from_original40_scene	True	True	False	True	True	False	False	[]	[]	[]	[]	libero/assets/articulated_objects/window.xml	[0.25, 0.0815, 0.1915]	Only handle points and slide joint; no implemented standard Open/Close. Exclude control tasks without a new predicate contract.	python_packages/libero/libero/envs/objects/articulated_objects.py	86
wine_bottle	present40_with_goal_primary_role	True	True	False	False	False	True	True	"[""LIBERO_10_04"", ""LIBERO_GOAL_01"", ""LIBERO_GOAL_02"", ""LIBERO_GOAL_03"", ""LIBERO_GOAL_04"", ""LIBERO_GOAL_05"", ""LIBERO_GOAL_06"", ""LIBERO_GOAL_07"", ""LIBERO_GOAL_08"", ""LIBERO_GOAL_09"", ""LIBERO_GOAL_10""]"	"[""LIBERO_GOAL_03"", ""LIBERO_GOAL_10""]"	"[""LIBERO_90_23"", ""LIBERO_90_24"", ""LIBERO_90_25"", ""LIBERO_90_26"", ""LIBERO_90_27"", ""LIBERO_90_28""]"	"[""LIBERO_90_27"", ""LIBERO_90_28""]"	libero/assets/turbosquid_objects/wine_bottle/wine_bottle.xml		Existing registered LIBERO asset; not evaluated by this static audit.	python_packages/libero/libero/envs/objects/turbosquid_objects.py	92
wine_rack	present40_without_goal_primary_role	True	True	False	False	True	True	False	"[""LIBERO_10_04"", ""LIBERO_GOAL_01"", ""LIBERO_GOAL_02"", ""LIBERO_GOAL_03"", ""LIBERO_GOAL_04"", ""LIBERO_GOAL_05"", ""LIBERO_GOAL_06"", ""LIBERO_GOAL_07"", ""LIBERO_GOAL_08"", ""LIBERO_GOAL_09"", ""LIBERO_GOAL_10""]"	[]	"[""LIBERO_90_23"", ""LIBERO_90_24"", ""LIBERO_90_25"", ""LIBERO_90_26"", ""LIBERO_90_27"", ""LIBERO_90_28""]"	[]	libero/assets/turbosquid_objects/wine_rack/wine_rack.xml		Existing registered LIBERO asset; not evaluated by this static audit.	python_packages/libero/libero/envs/objects/turbosquid_objects.py	81
wooden_cabinet	present40_with_goal_primary_role	True	True	False	False	False	True	True	"[""LIBERO_GOAL_01"", ""LIBERO_GOAL_02"", ""LIBERO_GOAL_03"", ""LIBERO_GOAL_04"", ""LIBERO_GOAL_05"", ""LIBERO_GOAL_06"", ""LIBERO_GOAL_07"", ""LIBERO_GOAL_08"", ""LIBERO_GOAL_09"", ""LIBERO_GOAL_10"", ""LIBERO_SPATIAL_01"", ""LIBERO_SPATIAL_02"", ""LIBERO_SPATIAL_03"", ""LIBERO_SPATIAL_04"", ""LIBERO_SPATIAL_05"", ""LIBERO_SPATIAL_06"", ""LIBERO_SPATIAL_07"", ""LIBERO_SPATIAL_08"", ""LIBERO_SPATIAL_09"", ""LIBERO_SPATIAL_10""]"	"[""LIBERO_GOAL_01""]"	"[""LIBERO_90_01"", ""LIBERO_90_02"", ""LIBERO_90_03"", ""LIBERO_90_04"", ""LIBERO_90_05"", ""LIBERO_90_06"", ""LIBERO_90_07"", ""LIBERO_90_08"", ""LIBERO_90_09"", ""LIBERO_90_10"", ""LIBERO_90_11"", ""LIBERO_90_12"", ""LIBERO_90_13"", ""LIBERO_90_14"", ""LIBERO_90_15"", ""LIBERO_90_16"", ""LIBERO_90_17"", ""LIBERO_90_18""]"	"[""LIBERO_90_01"", ""LIBERO_90_02"", ""LIBERO_90_04"", ""LIBERO_90_05"", ""LIBERO_90_06"", ""LIBERO_90_07"", ""LIBERO_90_08"", ""LIBERO_90_09"", ""LIBERO_90_12""]"	libero/assets/articulated_objects/wooden_cabinet.xml		Existing registered LIBERO asset; not evaluated by this static audit.	python_packages/libero/libero/envs/objects/articulated_objects.py	169
wooden_shelf	absent_from_original40_scene	True	True	False	True	True	False	False	[]	[]	[]	[]	libero/assets/turbosquid_objects/wooden_shelf/wooden_shelf.xml	[0.25642, 0.19087, 0.21704]	Three existing shelf regions each .22054 x .10 x .06544 m; broad roof .25068 x .18876 m. Keep front approach clear. Popcorn fits nominally; upright macaroni exceeds compartment height.	python_packages/libero/libero/envs/objects/turbosquid_objects.py	59
wooden_tray	absent_from_original40_scene	True	True	False	True	True	True	False	[]	[]	"[""LIBERO_90_56"", ""LIBERO_90_57"", ""LIBERO_90_58"", ""LIBERO_90_59"", ""LIBERO_90_60"", ""LIBERO_90_61"", ""LIBERO_90_62"", ""LIBERO_90_63"", ""LIBERO_90_64"", ""LIBERO_90_65""]"	[]	libero/assets/turbosquid_objects/wooden_tray/wooden_tray.xml		Used in LIBERO90 as a goal receptacle; existing contain_region is the appropriate geometric reference. Rebuild surrounding furniture and verify new object fit/support.	python_packages/libero/libero/envs/objects/turbosquid_objects.py	35
wooden_two_layer_shelf	absent_from_original40_scene	True	True	False	True	True	True	False	[]	[]	"[""LIBERO_90_41"", ""LIBERO_90_42"", ""LIBERO_90_43"", ""LIBERO_90_44"", ""LIBERO_90_45"", ""LIBERO_90_46"", ""LIBERO_90_87"", ""LIBERO_90_88"", ""LIBERO_90_89"", ""LIBERO_90_90""]"	[]	libero/assets/turbosquid_objects/wooden_two_layer_shelf/wooden_two_layer_shelf.xml		Used in LIBERO90; new scene and exact goal comparison required. Named shelf sites must be checked for reach, fit and visible exact masks.	python_packages/libero/libero/envs/objects/turbosquid_objects.py	70
yellow_book	absent_from_original40_scene	True	True	False	True	True	True	True	[]	[]	"[""LIBERO_90_87"", ""LIBERO_90_88"", ""LIBERO_90_89"", ""LIBERO_90_90""]"	"[""LIBERO_90_88"", ""LIBERO_90_89"", ""LIBERO_90_90""]"	libero/assets/turbosquid_objects/yellow_book/yellow_book.xml		Used in LIBERO90. Rigid book, no grasp guarantee from registration; front edge access and destination opening must fit its installed collision geometry.	python_packages/libero/libero/envs/objects/turbosquid_objects.py	150
