task_id	adapt_instruction	skill_source_ids	skill_source_instructions	scene_source_id	scene_source_instruction	object_source_ids	all_evidence_source_ids	evidence_roles	flags	cross_category_exact_overlaps	review_status
ADAPT_071	Put the wine bottle in the bottom drawer of the white cabinet in Scene 4.	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_GOAL_03	LIBERO_10_04,LIBERO_GOAL_03	LIBERO_10_04:TRAJECTORY SKILL SOURCE+SCENE SOURCE || LIBERO_GOAL_03:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_072	Open the top drawer of the white cabinet in the complete Scene 4 layout.	LIBERO_GOAL_04	Open the top layer of the drawer and put the bowl inside	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it		LIBERO_GOAL_04,LIBERO_10_04	LIBERO_GOAL_04:TRAJECTORY SKILL SOURCE || LIBERO_10_04:SCENE SOURCE			ELIGIBLE
ADAPT_073	Open the middle drawer of the white cabinet in the complete Scene 4 layout.	LIBERO_GOAL_01	Open the middle layer of the drawer	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it		LIBERO_GOAL_01,LIBERO_10_04	LIBERO_GOAL_01:DIRECT SKILL SOURCE || LIBERO_10_04:SCENE SOURCE			ELIGIBLE
ADAPT_074	Open the bottom drawer of the white cabinet in the complete Scene 4 layout.	LIBERO_GOAL_01,LIBERO_GOAL_04	Open the middle layer of the drawer || Open the top layer of the drawer and put the bowl inside	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it		LIBERO_GOAL_01,LIBERO_GOAL_04,LIBERO_10_04	LIBERO_GOAL_01:SIBLING SKILL ANCHOR || LIBERO_GOAL_04:SIBLING SKILL ANCHOR || LIBERO_10_04:SCENE SOURCE			ELIGIBLE
ADAPT_075	Close the top drawer of the white cabinet in the complete Scene 4 layout.	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it		LIBERO_10_04	LIBERO_10_04:CLOSE SKILL SOURCE+SCENE SOURCE		Older LiberoExReFinal60 exact BDDL: ula3_044__close_the_top_drawer_of_the_cabinet	ELIGIBLE
ADAPT_076	Close the middle drawer of the white cabinet in the complete Scene 4 layout.	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it		LIBERO_10_04	LIBERO_10_04:CLOSE SKILL SOURCE+SCENE SOURCE		Older LiberoExReFinal60 exact BDDL: ula3_042__close_the_middle_drawer_of_the_cabinet	ELIGIBLE
ADAPT_077	Close the bottom drawer of the white cabinet in the complete Scene 4 layout.	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it		LIBERO_10_04	LIBERO_10_04:CLOSE SKILL SOURCE+SCENE SOURCE		Final Decomposition20 exact BDDL: tdl10_016__close_the_bottom_drawer_of_the_cabinet || Older LiberoExReFinal60 exact BDDL: tdl10_016__close_the_bottom_drawer_of_the_cabinet || Original LIBERO-40 strict-goal-subset category: KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it	EXCLUDE_EXACT_DECOMPOSITION_OVERLAP
ADAPT_078	Put the cream cheese in the top drawer of the white cabinet in Scene 4.	LIBERO_GOAL_04	Open the top layer of the drawer and put the bowl inside	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_OBJECT_02	LIBERO_GOAL_04,LIBERO_10_04,LIBERO_OBJECT_02	LIBERO_GOAL_04:TRAJECTORY SKILL SOURCE || LIBERO_10_04:SCENE SOURCE || LIBERO_OBJECT_02:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_079	Put the cream cheese in the middle drawer of the white cabinet in Scene 4.	LIBERO_GOAL_04,LIBERO_GOAL_01	Open the top layer of the drawer and put the bowl inside || Open the middle layer of the drawer	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_OBJECT_02	LIBERO_GOAL_04,LIBERO_GOAL_01,LIBERO_10_04,LIBERO_OBJECT_02	LIBERO_GOAL_04:INSERTION SKILL ANCHOR || LIBERO_GOAL_01:MIDDLE-PART ANCHOR || LIBERO_10_04:SCENE SOURCE || LIBERO_OBJECT_02:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_080	Put the cream cheese in the bottom drawer of the white cabinet in Scene 4.	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_OBJECT_02	LIBERO_10_04,LIBERO_OBJECT_02	LIBERO_10_04:TRAJECTORY SKILL SOURCE+SCENE SOURCE || LIBERO_OBJECT_02:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_081	Put the butter in the top drawer of the white cabinet in Scene 4.	LIBERO_GOAL_04	Open the top layer of the drawer and put the bowl inside	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_OBJECT_07	LIBERO_GOAL_04,LIBERO_10_04,LIBERO_OBJECT_07	LIBERO_GOAL_04:TRAJECTORY SKILL SOURCE || LIBERO_10_04:SCENE SOURCE || LIBERO_OBJECT_07:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_082	Put the butter in the middle drawer of the white cabinet in Scene 4.	LIBERO_GOAL_04,LIBERO_GOAL_01	Open the top layer of the drawer and put the bowl inside || Open the middle layer of the drawer	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_OBJECT_07	LIBERO_GOAL_04,LIBERO_GOAL_01,LIBERO_10_04,LIBERO_OBJECT_07	LIBERO_GOAL_04:INSERTION SKILL ANCHOR || LIBERO_GOAL_01:MIDDLE-PART ANCHOR || LIBERO_10_04:SCENE SOURCE || LIBERO_OBJECT_07:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_083	Put the butter in the bottom drawer of the white cabinet in Scene 4.	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_OBJECT_07	LIBERO_10_04,LIBERO_OBJECT_07	LIBERO_10_04:TRAJECTORY SKILL SOURCE+SCENE SOURCE || LIBERO_OBJECT_07:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_084	Put the chocolate pudding in the top drawer of the white cabinet in Scene 4.	LIBERO_GOAL_04	Open the top layer of the drawer and put the bowl inside	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_OBJECT_09	LIBERO_GOAL_04,LIBERO_10_04,LIBERO_OBJECT_09	LIBERO_GOAL_04:TRAJECTORY SKILL SOURCE || LIBERO_10_04:SCENE SOURCE || LIBERO_OBJECT_09:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_085	Put the chocolate pudding in the middle drawer of the white cabinet in Scene 4.	LIBERO_GOAL_04,LIBERO_GOAL_01	Open the top layer of the drawer and put the bowl inside || Open the middle layer of the drawer	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_OBJECT_09	LIBERO_GOAL_04,LIBERO_GOAL_01,LIBERO_10_04,LIBERO_OBJECT_09	LIBERO_GOAL_04:INSERTION SKILL ANCHOR || LIBERO_GOAL_01:MIDDLE-PART ANCHOR || LIBERO_10_04:SCENE SOURCE || LIBERO_OBJECT_09:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_086	Put the chocolate pudding in the bottom drawer of the white cabinet in Scene 4.	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_10_04	put the black bowl in the bottom drawer of the cabinet and close it	LIBERO_OBJECT_09	LIBERO_10_04,LIBERO_OBJECT_09	LIBERO_10_04:TRAJECTORY SKILL SOURCE+SCENE SOURCE || LIBERO_OBJECT_09:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_087	Put the alphabet soup on the left front plate.	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_01	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_01	LIBERO_10_05:PLATE-BINDING SKILL SOURCE+SCENE SOURCE || LIBERO_10_07:FRONT-POSE ANCHOR || LIBERO_OBJECT_01:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_088	Put the alphabet soup on the right front plate.	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_01	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_01	LIBERO_10_05:PLATE-BINDING SKILL SOURCE+SCENE SOURCE || LIBERO_10_07:FRONT-POSE ANCHOR || LIBERO_OBJECT_01:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_089	Put the cream cheese on the left front plate.	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_02	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_02	LIBERO_10_05:PLATE-BINDING SKILL SOURCE+SCENE SOURCE || LIBERO_10_07:FRONT-POSE ANCHOR || LIBERO_OBJECT_02:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_090	Put the cream cheese on the right front plate.	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_02	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_02	LIBERO_10_05:PLATE-BINDING SKILL SOURCE+SCENE SOURCE || LIBERO_10_07:FRONT-POSE ANCHOR || LIBERO_OBJECT_02:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_091	Put the salad dressing on the left front plate.	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_03	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_03	LIBERO_10_05:PLATE-BINDING SKILL SOURCE+SCENE SOURCE || LIBERO_10_07:FRONT-POSE ANCHOR || LIBERO_OBJECT_03:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_092	Put the salad dressing on the right front plate.	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_03	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_03	LIBERO_10_05:PLATE-BINDING SKILL SOURCE+SCENE SOURCE || LIBERO_10_07:FRONT-POSE ANCHOR || LIBERO_OBJECT_03:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_093	Put the bbq sauce on the left front plate.	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_04	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_04	LIBERO_10_05:PLATE-BINDING SKILL SOURCE+SCENE SOURCE || LIBERO_10_07:FRONT-POSE ANCHOR || LIBERO_OBJECT_04:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_094	Put the bbq sauce on the right front plate.	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_04	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_04	LIBERO_10_05:PLATE-BINDING SKILL SOURCE+SCENE SOURCE || LIBERO_10_07:FRONT-POSE ANCHOR || LIBERO_OBJECT_04:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_095	Put the ketchup on the left front plate.	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_05	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_05	LIBERO_10_05:PLATE-BINDING SKILL SOURCE+SCENE SOURCE || LIBERO_10_07:FRONT-POSE ANCHOR || LIBERO_OBJECT_05:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_096	Put the ketchup on the right front plate.	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_05	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_05	LIBERO_10_05:PLATE-BINDING SKILL SOURCE+SCENE SOURCE || LIBERO_10_07:FRONT-POSE ANCHOR || LIBERO_OBJECT_05:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_097	Put the tomato sauce on the left front plate.	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_06	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_06	LIBERO_10_05:PLATE-BINDING SKILL SOURCE+SCENE SOURCE || LIBERO_10_07:FRONT-POSE ANCHOR || LIBERO_OBJECT_06:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_098	Put the tomato sauce on the right front plate.	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_06	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_06	LIBERO_10_05:PLATE-BINDING SKILL SOURCE+SCENE SOURCE || LIBERO_10_07:FRONT-POSE ANCHOR || LIBERO_OBJECT_06:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_099	Put the butter on the left front plate.	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_07	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_07	LIBERO_10_05:PLATE-BINDING SKILL SOURCE+SCENE SOURCE || LIBERO_10_07:FRONT-POSE ANCHOR || LIBERO_OBJECT_07:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_100	Put the butter on the right front plate.	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_07	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_07	LIBERO_10_05:PLATE-BINDING SKILL SOURCE+SCENE SOURCE || LIBERO_10_07:FRONT-POSE ANCHOR || LIBERO_OBJECT_07:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_101	Put the milk on the left front plate.	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_08	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_08	LIBERO_10_05:PLATE-BINDING SKILL SOURCE+SCENE SOURCE || LIBERO_10_07:FRONT-POSE ANCHOR || LIBERO_OBJECT_08:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_102	Put the milk on the right front plate.	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_08	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_08	LIBERO_10_05:PLATE-BINDING SKILL SOURCE+SCENE SOURCE || LIBERO_10_07:FRONT-POSE ANCHOR || LIBERO_OBJECT_08:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_103	Put the chocolate pudding on the left front plate.	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate		LIBERO_10_05,LIBERO_10_07	LIBERO_10_05:PLATE-BINDING SKILL SOURCE+SCENE SOURCE || LIBERO_10_07:FRONT-POSE ANCHOR			ELIGIBLE
ADAPT_104	Put the chocolate pudding on the right front plate.	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate		LIBERO_10_05,LIBERO_10_07	LIBERO_10_05:PLATE-BINDING SKILL SOURCE+SCENE SOURCE || LIBERO_10_07:FRONT-POSE ANCHOR			ELIGIBLE
ADAPT_105	Put the orange juice on the left front plate.	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_10	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_10	LIBERO_10_05:PLATE-BINDING SKILL SOURCE+SCENE SOURCE || LIBERO_10_07:FRONT-POSE ANCHOR || LIBERO_OBJECT_10:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_106	Put the orange juice on the right front plate.	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate	LIBERO_OBJECT_10	LIBERO_10_05,LIBERO_10_07,LIBERO_OBJECT_10	LIBERO_10_05:PLATE-BINDING SKILL SOURCE+SCENE SOURCE || LIBERO_10_07:FRONT-POSE ANCHOR || LIBERO_OBJECT_10:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_107	Put the white mug on the left front plate.	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate		LIBERO_10_05,LIBERO_10_07	LIBERO_10_05:PLATE-BINDING SKILL SOURCE+SCENE SOURCE || LIBERO_10_07:FRONT-POSE ANCHOR			ELIGIBLE
ADAPT_108	Put the white mug on the right front plate.	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate		LIBERO_10_05,LIBERO_10_07	LIBERO_10_05:PLATE-BINDING SKILL SOURCE+SCENE SOURCE || LIBERO_10_07:FRONT-POSE ANCHOR			ELIGIBLE
ADAPT_109	Put the yellow and white mug on the left front plate.	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate		LIBERO_10_05,LIBERO_10_07	LIBERO_10_05:PLATE-BINDING SKILL SOURCE+SCENE SOURCE || LIBERO_10_07:FRONT-POSE ANCHOR			ELIGIBLE
ADAPT_110	Put the yellow and white mug on the right front plate.	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate		LIBERO_10_05,LIBERO_10_07	LIBERO_10_05:PLATE-BINDING SKILL SOURCE+SCENE SOURCE || LIBERO_10_07:FRONT-POSE ANCHOR			ELIGIBLE
ADAPT_111	Put the red mug on the left front plate.	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate		LIBERO_10_05,LIBERO_10_07	LIBERO_10_05:PLATE-BINDING SKILL SOURCE+SCENE SOURCE || LIBERO_10_07:FRONT-POSE ANCHOR	NO_DIRECT_MANIPULATION_SOURCE:red_coffee_mug_1,OBJECT_PRESENT_BUT_NEVER_MANIPULATED_IN_LIBERO40		MANUAL_REVIEW_TRAINING_EVIDENCE
ADAPT_112	Put the red mug on the right front plate.	LIBERO_10_05,LIBERO_10_07	put the white mug on the left plate and put the yellow and white mug on the right plate || put the white mug on the plate and put the chocolate pudding to the right of the plate	LIBERO_10_05	put the white mug on the left plate and put the yellow and white mug on the right plate		LIBERO_10_05,LIBERO_10_07	LIBERO_10_05:PLATE-BINDING SKILL SOURCE+SCENE SOURCE || LIBERO_10_07:FRONT-POSE ANCHOR	NO_DIRECT_MANIPULATION_SOURCE:red_coffee_mug_1,OBJECT_PRESENT_BUT_NEVER_MANIPULATED_IN_LIBERO40		MANUAL_REVIEW_TRAINING_EVIDENCE
ADAPT_113	Put the alphabet soup in the back compartment of the caddy.	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_OBJECT_01	LIBERO_10_06,LIBERO_OBJECT_01	LIBERO_10_06:CADDY SKILL SOURCE+SCENE SOURCE || LIBERO_OBJECT_01:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_114	Put the alphabet soup in the front compartment of the caddy.	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_OBJECT_01	LIBERO_10_06,LIBERO_OBJECT_01	LIBERO_10_06:CADDY SKILL SOURCE+SCENE SOURCE || LIBERO_OBJECT_01:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_115	Put the alphabet soup in the left compartment of the caddy.	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_OBJECT_01	LIBERO_10_06,LIBERO_OBJECT_01	LIBERO_10_06:CADDY SKILL SOURCE+SCENE SOURCE || LIBERO_OBJECT_01:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_116	Put the alphabet soup in the right compartment of the caddy.	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_OBJECT_01	LIBERO_10_06,LIBERO_OBJECT_01	LIBERO_10_06:CADDY SKILL SOURCE+SCENE SOURCE || LIBERO_OBJECT_01:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_117	Put the salad dressing in the back compartment of the caddy.	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_OBJECT_03	LIBERO_10_06,LIBERO_OBJECT_03	LIBERO_10_06:CADDY SKILL SOURCE+SCENE SOURCE || LIBERO_OBJECT_03:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_118	Put the salad dressing in the front compartment of the caddy.	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_OBJECT_03	LIBERO_10_06,LIBERO_OBJECT_03	LIBERO_10_06:CADDY SKILL SOURCE+SCENE SOURCE || LIBERO_OBJECT_03:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_119	Put the salad dressing in the left compartment of the caddy.	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_OBJECT_03	LIBERO_10_06,LIBERO_OBJECT_03	LIBERO_10_06:CADDY SKILL SOURCE+SCENE SOURCE || LIBERO_OBJECT_03:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_120	Put the salad dressing in the right compartment of the caddy.	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_OBJECT_03	LIBERO_10_06,LIBERO_OBJECT_03	LIBERO_10_06:CADDY SKILL SOURCE+SCENE SOURCE || LIBERO_OBJECT_03:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_121	Put the bbq sauce in the back compartment of the caddy.	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_OBJECT_04	LIBERO_10_06,LIBERO_OBJECT_04	LIBERO_10_06:CADDY SKILL SOURCE+SCENE SOURCE || LIBERO_OBJECT_04:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_122	Put the bbq sauce in the front compartment of the caddy.	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_OBJECT_04	LIBERO_10_06,LIBERO_OBJECT_04	LIBERO_10_06:CADDY SKILL SOURCE+SCENE SOURCE || LIBERO_OBJECT_04:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_123	Put the bbq sauce in the left compartment of the caddy.	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_OBJECT_04	LIBERO_10_06,LIBERO_OBJECT_04	LIBERO_10_06:CADDY SKILL SOURCE+SCENE SOURCE || LIBERO_OBJECT_04:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_124	Put the bbq sauce in the right compartment of the caddy.	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_OBJECT_04	LIBERO_10_06,LIBERO_OBJECT_04	LIBERO_10_06:CADDY SKILL SOURCE+SCENE SOURCE || LIBERO_OBJECT_04:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_125	Put the ketchup in the back compartment of the caddy.	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_OBJECT_05	LIBERO_10_06,LIBERO_OBJECT_05	LIBERO_10_06:CADDY SKILL SOURCE+SCENE SOURCE || LIBERO_OBJECT_05:OBJECT-INTERACTION SOURCE			ELIGIBLE
ADAPT_126	Put the ketchup in the front compartment of the caddy.	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_10_06	pick up the book and place it in the back compartment of the caddy	LIBERO_OBJECT_05	LIBERO_10_06,LIBERO_OBJECT_05	LIBERO_10_06:CADDY SKILL SOURCE+SCENE SOURCE || LIBERO_OBJECT_05:OBJECT-INTERACTION SOURCE			ELIGIBLE
